name,published_at,abstract,publisher,company_publisher,creator,category,web_publisher,link_publisher
Artificial Intelligence: Way Forward for India, 01 Mar 2018,"Artificial Intelligence (AI) is likely to transform the way we live and work. Due to its high potential, its adoption is being treated as the fourth industrial revolution. As with any major advancement in technology, it brings with it a spectrum of opportunities as well as challenges. On one hand, several applications have been developed or under development with potential to improve the quality of life significantly. As per a study, it is expected to double the annual economic growth rate of 12 developed countries by 2035. On the other hand, there is a possibility of loss of jobs. As per the available reports, the loss of jobs during the next 10-20 years is estimated to be 47% in the US, 35% in the UK, 49% in Japan, 40% in Australia, and 54% in the EU. In the era of globalization, no country can isolate itself from the impact of the advances in technology. However, the benefits can be maximized and losses can be minimized by putting necessary infrastructure and policy in place. Though several countries have decided their strategy for AI, India has not yet formulated its strategy. The report reviews the international as well as national scenario and suggests way forward for India. ",IAES International Journal of Artificial Intelligence (IJ-AI),Institute of Advanced Engineering and Science,Sunil Kumar Srivastava,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://ijai.iaescore.com/index.php/IJAI,https://garuda.kemdikbud.go.id/publisher/view/6
Estimation of water quality index using artificial intelligence approaches and multi-linear regression, 01 Mar 2020,"Water quality index is a measure of water quality at a certain location and over a period of time. High value indicates that the water is unsafe for drinking and inadequate in quality to meet the designated uses. Most of the classical models are unreliable producing unpromising forecasting results. This study presents Artificial Intelligence (AI) techniques and a Multi Linear Regression (MLR) as the classical linear model for estimating the Water Quality Index (WQI) of Palla station of Yamuna river, India. Full-scale data of the river were used in validating the models. Performance measures such as Mean Square Error (MSE), Root Mean Squared Error (RMSE) and Determination Coefficient (DC) were utilized in evaluating the accuracy and performance of the models. The obtained result depicted the superiority of AI models over the MLR model. The results also indicated that, the best model of both ANN and ANFIS proved high improvement in performance accuracy over MLR up to 10% in the verification phase. The difference between ANN and ANFIS accuracy is negligible due to a slight increment in performance accuracy indicating that both ANN and ANFIS could serve as reliable models for the estimation of WQI.",IAES International Journal of Artificial Intelligence (IJ-AI),Institute of Advanced Engineering and Science,Muhammad Sani Gaya,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://ijai.iaescore.com/index.php/IJAI,https://garuda.kemdikbud.go.id/publisher/view/6
AN INTRODUCTION TO KNOWLEDGE-GROWING SYSTEM: A REVIEW ON THE NOVEL FIELD ON ARTIFICIAL INTELLIGENCE, 05 Aug 2013,Bidang Kecerdasan Tiruan telah mengalami kemajuan pesat sejak diperkenalkan pada tahun 1950-an. Hal esensialdari Kecerdasan Tiruan adalah bagaimana membangun suatu entitas yang menirukan kecerdasan manusia dalam carapembelajaran terhadap sesuatu untuk meningkatkan pengetahuan tentang sesuatu tersebut dan menggunakan pengetahuantersebut untuk menyelesaikan permasalahan-permasalahan yang terkait dengannya. Dalam makalah ilmiah ini kamimengkaji satu bidang baru dalam Kecerdasan Tiruan yang disebut Sistem Berpengetahuan-Tumbuh (SBpT) yakni sistemyang memiliki kemampuan untuk menumbuhkan pengetahuannya seiring dengan bertambahnya jumlah informasi seiringdengan berjalannya waktu. SBpT dibangun dari pengamatan terhadap cara otak manusia dalam memperolah pengetahuanbaru dengan cara memfusikan informasi yang dikumpulkan dan dikirimkan oleh panca indera manusia. Hasil dari observasitersebut adalah algoritma penumbuhan-pengetahuan baru yang disebut dengan metoda fusi penginferensian-informasiObservation Multi-time A3S (OMA3S). Beberapa contoh akan disampaikan untuk memperlihatkan aplikasi SBpT padapermasalahan-permasalahan di dunia nyata.,Proceedings of KNASTIK,Universitas Kristen Duta Wacana,"Sumari, Arwin Datumaya Wahyudi",,http://ti.ukdw.ac.id/ojs/index.php/proceedings,https://garuda.kemdikbud.go.id/publisher/view/104
Implementasi Artificial Intelligence pada game Defender of Metal City dengan menggunakan Finite State Machine, 31 Dec 2017,"Game adalah jenis perangkat lunak yang populer dewasa ini. Pada game biasa terdapat Artificial Inteligence (AI) yang mengendalikan pihak komputer sehingga manusia yang bermain dapat merasakan seolah mereka sedang melawan pemain manusia lain saat bermain. Salah satu jenis game yang ada ialah tower defense dimana pemain perlu mempertahankan tower atau markas nya agar tidak dihancurkan oleh pihak lawan. Untuk membuat AI untuk game berjenis tower defense, diperlukan algoritma yang baik untuk mengatur gerakan pasukan lawan.Penelitian ini mengusulkan penerapan AI pada game berjenis tower defense menggunakan rule based Finite State Machine. Setiap pasukan memiliki AI dengan beberapa state, pada saat terjadi suatu kondisi tertentu, maka pasukan akan berpindah dari satu state ke state lainnya berdasarkan rule yang telah ditentukan, hanya ada satu state yang bisa aktif pada suatu waktu. Pada penelitian ini AI akan dibagi menjadi 3 level yaitu easy, medium dan hard. Pengujian dilakukan dengan mempertandingkan antar level AI pada semua kemungkinan tingkat kesulitan, lalu dibuat tabel derajat kemenangan atau winning rate dari AI yang ada.Berdasarkan hasil pengujian Finite State Machine dapat diterapkan pada game berjenis tower defense dengan baik untuk membentuk AI yang kuat.",Jurnal Teknik ITS,Institut Teknologi Sepuluh Nopember Surabaya,Billy Billy,"<a class=""ui tag label grey mini"" href=""/area/index/115"">Engineering</a>",http://ejurnal.its.ac.id/index.php/teknik,https://garuda.kemdikbud.go.id/publisher/view/102
Artificial Intelligence-Based Optimal PID Controller Design for BLDC Motor with Phase Advance, 02 Jan 2020,"This paper proposes the artificial intelligence (AI)-based optimal PID controller design optimization of brushless direct current (BLDC) motor speed control with phase advance approach. The proposed control system allows the speed adjustment of the BLDC motor by phase advance technique. In this paper, two selected AI algorithms, i.e., the adaptive tabu search (ATS) and the intensified current search (ICS) are conducted as the optimizer for the PID controller design. The proposed control system is simulated by MATLAB/SIMULINK. Results obtained by the ATS and ICS will be compared with those obtained by the Ziegler-Nichols (ZN) tuning rule and the genetic algorithm (GA). It shows that the speed response of the BLDC motor by phase advance with the PID controller optimized by the ICS outperforms better than the ZN, GA and ATS.",Indonesian Journal of Electrical Engineering and Informatics (IJEEI),IAES Indonesia Section and Partners,Manoon Boonpramuk,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://section.iaesonline.com/index.php/IJEEI,https://garuda.kemdikbud.go.id/publisher/view/65
Application of optimal artificial intelligence based tuned controllers to a class of embedded nonlinear power system, 01 Mar 2020,"This paper studies the implementation of the Bat Inspired Algorithm (BIA) as an optimization technique to find the optimal parameters of two classes of controllers. The first is the classical Proportional-Integral-Derivative (PID). The second is the hybrid fractional order and Brain Emotional Intelligent controller. The two controllers have been implemented, separately, for the load frequency control of a single area electric power system with three physical imbedded nonlinearities. The first nonlinearity represents the generation’s rate constraint (GRC). The second is owing to the governor dead band (GDB). The last is due to the time delay imposed by the governor-turbine link, the thermodynamic process, and the communication channels. These nonlinearities have been embedded in the simulation model of the system under study. Matlab/Simulink software has been applied to obtain the results of applying the two classes of controllers which have been, optimally, tuned using the BIA. The Integral of Square Error (ISE) criterion has been selected as an element of the objective function along with the percentage overshoot and settling time for the optimum tuning technique of the two controllers. The simulation results show that when using the hybrid fractional order and Brain Emotional Intelligent controller, it gives better response and performance indices than the conventional Proportional-Integral-Derivative (PID) controllers.",International Journal of Reconfigurable and Embedded Systems (IJRES),Institute of Advanced Engineering and Science,Magdy A. S. Aboelela,"<a class=""ui tag label grey mini"" href=""/area/index/95"">Economics, Econometrics &amp; Finance</a>",http://ijres.iaescore.com/index.php/IJRES,https://garuda.kemdikbud.go.id/publisher/view/6
Design of optimal search engine using text summarization through artificial intelligence techniques, 01 Jun 2020,"Natural language processing is the trending topic in the latest research areas, which allows the developers to create the human-computer interactions to come into existence. The natural language processing is an integration of artificial intelligence, computer science and computer linguistics. The research towards natural Language Processing is focused on creating innovations towards creating the devices or machines which operates basing on the single command of a human. It allows various Bot creations to innovate the instructions from the mobile devices to control the physical devices by allowing the speech-tagging. In our paper, we design a search engine which not only displays the data according to user query but also performs the detailed display of the content or topic user is interested for using the summarization concept. We find the designed search engine is having optimal response time for the user queries by analyzing with number of transactions as inputs. Also, the result findings in the performance analysis show that the text summarization method has been an efficient way for improving the response time in the search engine optimizations.",Perfecting a Video Game with Game Metrics,Universitas Ahmad Dahlan,Kaushik Sekaran,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://journal.uad.ac.id/index.php/TELKOMNIKA,https://garuda.kemdikbud.go.id/publisher/view/8
Rancang Bangun Aplikasi Game Tajen Berbasis Android Menggunakan Artificial Intelligence, 27 Nov 2015,"Tabuh Rah is a culture and a rituals in Bali to present the blood of animals through a cockfight or Tajen. However there are certain people who abuse Tajen for gambling, and that give a misunderstanding of the Tajen function for people. The rapid development of technology has also led to a lack of public attention to their own culture. Overcome these problems, the use of technology through an Android-based gaming is the right solution. Tajen Game is an fighting Android based game by choosing a cock as character to play the game, spurs and installation methods, and a good day to try the cockfight based on the calculation of Saptawara and Pancawara. This game was made to introduce the main function of Tajen. Corona SDK (Software Development Kit) is the software that use to create his game and using the Lua Programming Language. The quality of Tajen Game based on the respondents' assessment is good, with the percentage of the graphic aspect of the game by 58%, entertainment aspects by 70%, and the content aspects by 57%.",Lontar Komputer: Jurnal Ilmiah Teknologi Informasi,Universitas Udayana,Made Gandhi Arsawiguna,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://ojs.unud.ac.id/index.php/lontar,https://garuda.kemdikbud.go.id/publisher/view/38
Artificial Intelligence on Computer Based Chess Game: An Implementation of Alpha-Beta-Cutoff Search Method, 30 Jun 2007,"AbstractA chess program usually consists of three main parts, that is, a move generator to generate all legal moves, an evaluation function to evaluate each move, and a search function to select the best move. The search function is the core of thinking process. The goal of this research is to implement the alpha beta cutoff as a search method. This method is derived from minimax search method and is more optimal than the minimax search method.In minimax, all nodes is searched and compared one by one to get the best value. On the other hand, the alpha beta cut of methd only searches nodes which make contribution to the previous value and cuts off nodes which are not useful. It means that the alpha beta method will not search and compare all nodes. The new node will be better than the previous one and replace the old value with the new one. This will make the alpha beta method requires smaller search time.The proposed method is tested by doing a series of matches between humans and a computer. The results show that the computer has ability to think well and performs a good artcial intelligence though it is very open to be modified and more optimized.Keywords: move generator function, evaluation function, search function, minimax, alpha beta cutoff",IJCCS (Indonesian Journal of Computing and Cybernetics Systems),Universitas Gadjah Mada,Albert Dian Sano,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://jurnal.ugm.ac.id/ijccs,https://garuda.kemdikbud.go.id/publisher/view/13
PENINGKATAN SISTEM KEAMANAN PARKIR DENGAN TEKNOLOGI ARTIFICIAL INTELLIGENCE IMAGING, 23 Aug 2019,"Tempat parkir merupakan sebuah fasilitas umum yang biasa  tersedia pada sebuah instansi atau kantor yang berfungsi untuk menyimpan kendaraan sementara disaat kita bekerja atau melakukan aktifitas lainnya, kendarran yang masuk ke area parkir kemungkinan puluhan bahkan ribuan, oleh kerena itu diperlukan sebuah sistem pengaturan dan manajemen area parkir, pengaturan tersebut bisa berupa  prosedur parkir bahkan sistem pendukung lainnya seperti sarana dan prasaran parkir yang memadai, fungsi lain  dari pembuatan dan pengembangan sistem parkir pada umumnya untuk memberikan keamanan dan kenyaman, sehingga kondisi kendaraan akan tertata dengan baik dilihat dari segi penempatan kendaran serta jaminan  kemanan dan bisa dimanfaatkan selama 24 jam. Kendala yang dihadapi saat ini adalah jumlah kendaraan yang semakin bertambah sehingga diperlukan area atau space parkir yang lebih luas, lambatnya pendataan kendaraan karena teknologi yang digunakan masih dilakukan validasi plat kendaraan secara manual, masalah lain yang dihadapi  adalah pada penempatan area yang luas, keterbatasan ini berdasarkan pada jumlah petugas parkir dilapangan sangat terbatas sehingga diperlukan tenaga dan waktu yang ektra untuk mengatur dan mengecek kendaraan yang sudah masuk di area parkir. Masalah tersebut bisa diatasi dengan penggunaan teknik image processing dan OCR algoritma, teknik ini sudah banyak diimplementasikan dibeberapa  negara maju yang digunakan untuk manjemen sistem parkirnya,  image processing digunakan untuk mendata dan mengawasi jumlah kendaraan yang ada diarea dengan melakukan pembacaan dengan cara scanning plat nomor kendaraan, teknik scanning bisa bekerja dengan menggunakan teknik OCR (Optical Character recognition), data dari sebuah image plat nomer kendaraan dikonversi kedalam bentuk teks atau angka dan  bisa langsung disimpan pada sebuah database, data dari  plat kendaraan yang telah disimpan kemudian dicocokan dengan foto kendaraan,  dengan bantuan sistem bisa dintegrasikan  dengan kamera sehingga pengawasan area parkir bisa dilakukan secara langsung dalam waktu yang lama, sistem  mampu  menampilkan data secara visual plat kendaraan dan foto kendaraan tersebut.",JOINT (Journal of Information Technology,Sekolah Tinggi Manajemen Informatika dan Komputer Amik Bandung,"Suhendri, Suhendri","<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://jurnal.stmik-amikbandung.ac.id/joint,https://garuda.kemdikbud.go.id/publisher/view/2027
